current_name,abbrev,team_colours,second_colour,prev_team_colours,prev_second_colour,backup_team_colours,backup_second_colour,champ_colour,team_url
Adelaide City,ADC,black,white,black,white,NA,NA,red,/wiki/Adelaide_City_FC
APIA Leichhardt,API,#80263c,#6eb2de,#80263c,#6eb2de,NA,NA,red,/wiki/APIA_Leichhardt_FC
Brisbane City,BRC,#87ceeb,white,#87ceeb,white,NA,NA,red,/wiki/Brisbane_City_FC
Brisbane Lions,BRL,#F26522,black,#FE9717,black,NA,NA,red,/wiki/Brisbane_Roar_FC
Canberra City,CAN,#13268d,#fac50e,#13268d,#fac50e,NA,NA,red,/wiki/Canberra_City_FC
Footscray JUST,FOO,#0000FF,#FF0000,#0000FF,#FF0000,NA,NA,white,/wiki/Footscray_JUST
Heidelberg United,HEI,#fdf58f,black,#fdf58f,black,NA,NA,red,/wiki/Heidelberg_United_FC
Marconi Stallions,MAR,#61ad7e,white,#61ad7e,white,NA,NA,red,/wiki/Marconi_Stallions_FC
Mooroolbark,MOO,#d0333c,white,#d0333c,white,NA,NA,red,/wiki/Mooroolbark_Soccer_Club
Newcastle KB United,NUN,#056839,#4c2513,#056839,#4c2513,NA,NA,red,/wiki/Newcastle_KB_United
South Melbourne,SOU,#0076c0,white,#0076c0,white,NA,NA,red,/wiki/South_Melbourne_FC
St George-Budapest,STG,#e2231b,white,#68AEE8,#274A71,NA,NA,gold,/wiki/St_George_FC
Sydney City,SYC,#1455ac,white,#1455ac,white,NA,NA,red,wiki/Hakoah_Sydney_City_East_FC
Sydney Olympic,SYO,#174791,white,#174791,white,NA,NA,red,/wiki/Sydney_Olympic_FC
West Adelaide,WSA,#13387f,white,#13387f,white,NA,NA,red,/wiki/West_Adelaide_SC
Western Suburbs,WST,black,white,black,white,NA,NA,red,/wiki/Western_Suburbs_SC_(NSW)
Blacktown City,BLA,black,#ee313d,black,#ee313d,NA,NA,gold,/wiki/Blacktown_City_FC
Wollongong Wolves,WOL,#ce272f,black,#ce272f,black,NA,NA,gold,/wiki/Wollongong_Wolves_FC
Preston Makedonia,PRE,#e61f26,#feed07,#e61f26,#feed07,NA,NA,white,/wiki/Preston_Lions_FC
Sydney United,SUN,#a00d0a,white,#a00d0a,white,NA,NA,gold,/wiki/Sydney_United_58_FC
Penrith City,PEN,black,#e22726,black,#e22726,NA,NA,gold,/wiki/Penrith_City_SC
Newcastle Rosebud United,NRU,#00a072,white,#00a072,white,NA,NA,red,/wiki/Adamstown_Rosebud_FC
Parramatta Eagles,MEA,black,white,black,white,NA,NA,red,/wiki/Parramatta_FC
Melbourne Knights,MKN,red,white,red,white,NA,NA,gold,/wiki/Melbourne_Knights_FC
Brunswick Juventus,BRU,black,white,black,white,NA,NA,red,/wiki/Brunswick_Zebras_Football_Club
Green Gully,GRE,#148c64,white,#148c64,white,NA,NA,red,/wiki/Green_Gully_SC
Sunshine George Cross,SGC,#cf2235,white,#cf2235,white,NA,NA,gold,/wiki/Caroline_Springs_George_Cross_FC
Inter Monaro,INT,#00a651,black,#00a651,black,NA,NA,red,/wiki/Monaro_Panthers_FC
Canterbury Marrickville,CBY,#f8ec0e,#1b5ea5,#f8ec0e,#1b5ea5,NA,NA,red,/wiki/Canterbury_Bankstown_FC
Wollongong Macedonia,WMA,#de2118,#f4ce3e,#de2118,#f4ce3e,NA,NA,black,/wiki/Wollongong_United_FC
Newcastle Breakers,NBR,#17327f,#d61f1b,#17327f,#d61f1b,NA,NA,gold,/wiki/Newcastle_Breakers_FC
Brisbane Strikers,BRS,#ecc852,#2a2a86,#ecc852,#2a2a86,NA,NA,red,/wiki/Brisbane_Strikers_FC
Morwell Falcons,MOR,#4d4286,#366b61,#4d4286,#366b61,NA,NA,red,/wiki/Falcons_2000_SC
Canberra Cosmos,CCO,#0f298f,#fe7e00,#0f298f,#fe7e00,NA,NA,red,/wiki/Canberra_Cosmos_FC
Perth Glory,PER,#470A68,yellow,#522968,yellow,NA,NA,red,/wiki/Perth_Glory_FC
Collingwood Warriors,COL,black,white,black,white,NA,NA,red,/wiki/Collingwood_Warriors_SC
Carlton,CAR,#0c1c34,white,#0c1c34,white,NA,NA,red,/wiki/Carlton_SC
Northern Spirit,NSP,#d40026,#ffb310,#d40026,#ffb310,NA,NA,black,/wiki/North_West_Sydney_Spirit_FC
Football Kingz,FKZ,black,white,black,white,NA,NA,red,/wiki/Football_Kingz_FC
Parramatta Power,PAR,#ffce31,#003165,#ffce31,#003165,NA,NA,red,/wiki/Parramatta_Power_SC
Newcastle United,NEW,#b89c5c,#024c91,#00388D,red,NA,NA,red,/wiki/Newcastle_Jets_FC
Adelaide United,ADE,#D50032,navyblue,#E3001B,navyblue,NA,NA,gold,/wiki/Adelaide_United_FC
